Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x307c010          TCPv4    127.0.0.1:49998                127.0.0.1:63400      ESTABLISHED      1496     java.exe       
0x307fae0          TCPv4    127.0.0.1:49998                127.0.0.1:60503      ESTABLISHED      1496     java.exe       
0x3080780          TCPv4    127.0.0.1:49998                127.0.0.1:60095      ESTABLISHED      1496     java.exe       
0x3081010          TCPv4    127.0.0.1:49998                127.0.0.1:62648      ESTABLISHED      1496     java.exe       
0x3082290          TCPv4    127.0.0.1:49998                127.0.0.1:65431      ESTABLISHED      1496     java.exe       
0x30859d0          TCPv4    127.0.0.1:49998                127.0.0.1:61084      ESTABLISHED      1496     java.exe       
0x3086010          TCPv4    127.0.0.1:58272                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x3087530          TCPv4    127.0.0.1:49998                127.0.0.1:58981      ESTABLISHED      1496     java.exe       
0x3087cf0          TCPv4    127.0.0.1:49998                127.0.0.1:58724      ESTABLISHED      1496     java.exe       
0x3089730          TCPv4    127.0.0.1:53698                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x3089cf0          TCPv4    127.0.0.1:53701                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x308ba50          TCPv4    127.0.0.1:49998                127.0.0.1:62666      ESTABLISHED      1496     java.exe       
0x308e530          TCPv4    127.0.0.1:49998                127.0.0.1:60346      ESTABLISHED      1496     java.exe       
0x3091750          TCPv4    127.0.0.1:49998                127.0.0.1:63516      ESTABLISHED      1496     java.exe       
0x3092cf0          TCPv4    127.0.0.1:49998                127.0.0.1:63399      ESTABLISHED      1496     java.exe       
0x3096010          TCPv4    127.0.0.1:49998                127.0.0.1:63120      ESTABLISHED      1496     java.exe       
0x30967e0          TCPv4    127.0.0.1:62993                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x3097010          TCPv4    127.0.0.1:49998                127.0.0.1:62174      ESTABLISHED      1496     java.exe       
0x309d4d0          TCPv4    127.0.0.1:58450                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x30a4080          TCPv4    127.0.0.1:59277                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x30a74c0          TCPv4    127.0.0.1:59074                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x30a8270          TCPv4    127.0.0.1:49998                127.0.0.1:62313      ESTABLISHED      1496     java.exe       
0x30a8590          TCPv4    127.0.0.1:49998                127.0.0.1:62322      ESTABLISHED      1496     java.exe       
0x30afa50          TCPv4    127.0.0.1:63631                127.0.0.1:49998      ESTABLISHED      632      java.exe       
